KICID,numax,numax_err,dnu,dnu_err,Yu_Teff,Yu_Teff_err,ra,dec,parallax,parallax_error,GAIAmag,Ag,e_GAIAmag,Kmag,e_Kmag,ccd,b17,Ebv,Aks,Z,Teff,Teff_err,M_Clump,M_Clump_err,R_Clump,R_Clump_err,A_numax,A_numax_err,A_dnu,A_dnu_err,A_fdnu,A_fdnu_err,[Fe/H],Log Age
7885511,28.16,0.9,3.71,0.13,4835,80,289.9527954108885,43.69180481101749,0.3036921281242489,0.024432406901523988,12.813115,0.2475,0.01,10.57,0.011,10,0.060477197,0.053219933,0.0097368285,0.009215619001986005,4845.6,88.5,1.02,0.18,11.06,0.87,27.511,0.017,3.814,0.016,0.9958,0.0156,-0.28,3.879
7887960,36.01,0.44,4.249,0.093,4913,80,290.76730821041014,43.631492048665685,0.4573913979844416,0.0243060713102594,12.043833,0.0605,0.01,9.865,0.011,10,0.054530077,0.047986466,0.008779341999999999,0.009215619001986005,4948.6,82.6,1.29,0.13,10.94,0.53,35.979,0.009,4.236,0.015,0.9925,0.0222,-0.28,3.393
7889429,26.41,0.99,3.5610000000000004,0.039,4658,80,291.2643989889115,43.60035031932775,1.4244546851638904,0.03620761803209318,9.902678,0.1363,0.01,7.5729999999999995,0.024,10,0.049187567,0.043285057,0.007919198,0.02314858832905051,4631.1,67.4,0.94,0.12,11.05,0.51,26.713,0.042,3.549,0.008,0.9983,0.0302,0.12,3.828
7897890,27.02,0.89,3.877,0.061,4856,80,294.18228881994673,43.688842402524855,0.3751457004208721,0.024745142890815083,12.469659,0.1277,0.01,10.158,0.014,14,0.116054565,0.102128014,0.018684784,0.006831632746099567,4909.6,84.1,0.77,0.1,9.8,0.48,27.674,0.025,3.82,0.014,0.9882,0.0301,-0.41,3.784
7902578,31.96,0.57,3.991,0.02,4640,80,295.62563022365504,43.616385013688706,0.9504971735643526,0.02822002207661198,11.003051,0.368,0.01,8.546,0.014,14,0.12073201,0.10624417,0.019437853,0.029142346094603564,4618.6,66.6,1.05,0.08,10.63,0.28,32.18,0.013,4.006,0.01,1.0044,0.0066,0.22,3.805
7917701,35.79,1.17,3.898,0.079,4590,80,299.48506748458703,43.649551176317395,0.7001847785415791,0.020364210417100674,11.561378,0.736,0.01,8.892999999999999,0.018000000000000002,13,0.16626570000000002,0.14631382,0.026768777999999997,0.0461875059376829,4556.6,63.8,1.62,0.22,12.51,0.69,35.034,0.024,3.946,0.017,1.0406,0.0004,0.42,3.843
7935931,30.84,1.2,3.87,0.024,4587,80,280.1643560861011,43.757816197537785,0.6193047456165358,0.0277837680071356,11.891761,0.33899999999999997,0.01,9.487,0.02,7,0.05531531,0.04867747,0.008905765,0.025381922374298486,4564.3,64.6,1.04,0.13,10.83,0.48,30.649,0.017,3.843,0.01,1.0169,0.0266,0.16,3.991
7939118,32.41,0.98,3.865,0.079,4884,80,282.3232522761016,43.74743009373846,0.26593754875231923,0.026015534465403032,12.79556,0.282,0.01,10.675999999999998,0.011,7,0.027901202000000003,0.024553059,0.0044920933000000005,0.0082134290810032,4909.2,80.8,1.36,0.18,11.87,0.63,32.215,0.012,3.911,0.013,0.9918,0.0338,-0.33,3.42
7948086,42.4,0.72,4.574,0.03,5166,100,287.00255929809134,43.78647187814559,0.6002532747036161,0.022938273983102296,11.268372,0.0853,0.01,9.109,0.014,11,0.044447075999999995,0.039113425,0.007155979,0.019254157124274328,4788.2,74.1,1.69,0.12,11.43,0.31,42.217,0.009,4.517,0.011,0.9956,0.0141,0.04,3.299
7949258,33.48,0.76,4.08,0.022,4709,100,287.6003793201807,43.76850758256789,0.6121117468754226,0.02179089859498966,11.7593975,0.2945,0.01,9.347000000000001,0.011,11,0.045412984,0.039963424,0.0073114904000000005,0.03841709411655414,4661.0,68.2,1.12,0.1,10.71,0.33,33.574,0.017,4.045,0.01,1.0048,0.0066,0.34,3.713
